l00.M.IN;m00.M.IN;l08.M.IN;m08.M.IN;l00.W.IN;m00.W.IN;l08.W.IN;m08.W.IN;mto108.M.IN;mto100.M.IN;mto108.W.IN;mto100.W.IN;l00.M.SP;m00.M.SP;l08.M.SP;m08.M.SP;l00.W.SP;m00.W.SP;l08.W.SP;m08.W.SP;mto108.M.SP;mto100.M.SP;mto108.W.SP;mto100.W.SP;MS.W;MS.M;mto185.M.SP;mto185.M.IN;mto185.W.SP;mto185.W.IN
0.908629609;0.157732927;1.028098562;0.069232298;0.918312077;0.101727839;1.001468806;0.0940381;0.074345227;0.175105257;0.094051015;0.128982521;0.827377644;0.119890525;1.070880666;0.092389637;0.798461152;0.181135062;1.058273074;0.084181735;0.096068621;0.135557352;0.088255691;0.198702562;;;0.159233938;0.165021464;0.179392332;0.202872396
0.93015168;0.137446987;1.038496079;0.07901949;0.891363842;0.129158739;0.979254625;0.076565681;0.086506442;0.148136644;0.080054467;0.170307689;0.829482491;0.131183399;1.088790506;0.07134647;0.829820486;0.142550427;1.073061703;0.067265604;0.078662528;0.145580444;0.074258368;0.157380751;;;0.16213766;0.158532325;0.170779922;0.206766005
0.934178955;0.088127889;1.026193047;0.119775943;0.87238091;0.132573336;0.956831079;0.073660229;0.121839242;0.101319884;0.087773692;0.185852056;0.876693556;0.110979293;1.0905127;0.090558868;0.890327591;0.099297588;1.123904622;0.099442737;0.095442897;0.118339298;0.110832521;0.10741526;;;0.146528608;0.157974458;0.150321874;0.219038748
0.936755545;0.077877092;1.020271569;0.123194817;0.881830426;0.130845812;0.982776474;0.08137726;0.124401003;0.092109906;0.083257658;0.17182414;0.767466243;0.142366779;1.029498341;0.062255889;0.834545606;0.117033704;1.05945108;0.078959305;0.06324339;0.166771745;0.082745048;0.13509512;;;0.169170033;0.182866819;0.157049367;0.174221514
0.960137423;0.083259969;1.047878205;0.122071114;0.872985276;0.095935663;0.976396856;0.086532161;0.128275491;0.088587966;0.08968305;0.150891083;0.675255635;0.139431363;0.943221331;0.066442658;0.844358884;0.114992591;1.05145367;0.104543747;0.070008431;0.186739012;0.106892664;0.132619039;1.355630923;1.624964774;0.183662044;0.150857098;0.149129919;0.18155739
0.986438976;0.087084768;1.081183955;0.11400566;0.958771487;0.085563407;1.044272741;0.127330442;0.130283047;0.087618039;0.133380279;0.091577634;0.618151933;0.167956362;0.924620132;0.06999045;0.938779709;0.11522617;1.177806811;0.086291091;0.076581656;0.230026362;0.111399719;0.117550449;1.375539854;1.602089806;0.207942358;0.136342019;0.125154845;0.123154067
0.9983241;0.099520572;1.095514723;0.110176582;0.95808041;0.106856856;1.033989076;0.113310525;0.132773817;0.09952795;0.117884014;0.112832417;0.674821327;0.146312346;0.946710291;0.055804462;1.025085457;0.119645472;1.241888841;0.095690695;0.060058407;0.198837064;0.131845407;0.119985653;1.431383628;1.653417324;0.200901624;0.121646819;0.096357361;0.127769781
0.917587798;0.101271449;1.00701829;0.089722508;1.033371954;0.056684219;1.079385927;0.162271643;0.089969962;0.124572248;0.175980984;0.062457461;0.741472668;0.12515225;0.983513267;0.069267658;1.036239897;0.113285286;1.254380639;0.099123514;0.069555548;0.159039281;0.131873274;0.11391832;1.478866188;1.557343163;0.175859712;0.179462669;0.101917367;0.124008113
0.895077154;0.119927056;0.98137847;0.076341896;0.963734175;0.081341144;1.037980776;0.117453684;0.07862188;0.154603546;0.122797427;0.087276537;0.779686411;0.098482653;0.988158489;0.085614067;0.883498127;0.116767116;1.1002226;0.095227677;0.085728616;0.127708443;0.102661046;0.12472807;1.436477707;1.474559851;0.169265213;0.201527378;0.140660428;0.139307741
0.946763243;0.105754832;1.029254988;0.095532638;0.943529479;0.106473695;1.062163216;0.098829415;0.099366488;0.114795363;0.113394424;0.115218331;0.821315161;0.095397047;1.084159478;0.097627584;0.89508561;0.117719967;1.123903995;0.083222175;0.101064316;0.110654385;0.095400319;0.123748911;1.43853951;1.417533406;0.14190479;0.155529024;0.144312598;0.162494788
0.992703179;0.112072693;1.06922616;0.111593787;0.929934182;0.182414868;1.053348465;0.061495949;0.125948498;0.112210392;0.080550087;0.192430161;0.759637546;0.124974229;1.051194414;0.062179042;0.962551368;0.139793319;1.185148511;0.082938471;0.064371139;0.147679844;0.107564625;0.140431294;1.466058602;1.43502004;0.164287654;0.123639504;0.128938257;0.174830866
1.046446423;0.083424336;1.112445014;0.144626836;0.898100104;0.166143786;1.04143722;0.045314902;0.168372563;0.089499605;0.060576057;0.18762974;0.666087555;0.138818545;0.977185881;0.047032996;1.051713842;0.105839354;1.234005514;0.11739603;0.047651318;0.178164538;0.140450876;0.107140172;1.493203166;1.489211926;0.193224688;0.102187433;0.101743194;0.18860115
0.968696858;0.10449398;1.065234351;0.107191723;0.907285108;0.128194698;1.027793551;0.062302467;0.118029445;0.106747299;0.067590261;0.151061871;0.634974983;0.139334673;0.91090284;0.047822592;1.044961398;0.095895109;1.227620658;0.129179011;0.056794187;0.187003221;0.148137365;0.096943471;1.516878108;1.496135337;0.206008671;0.137698142;0.104838176;0.167426635
0.977555756;0.103949013;1.101669056;0.104231211;0.879086194;0.114727323;1.00288406;0.058686115;0.12766956;0.104944339;0.058754832;0.15443554;0.636233723;0.120977034;0.931332504;0.053562272;0.937054353;0.099886239;1.131176605;0.112983334;0.05866595;0.174008985;0.12217698;0.102276279;1.511049354;1.599124697;0.210190171;0.141179379;0.129110413;0.206630229
0.940271325;0.148016116;1.085371509;0.078930442;0.934924776;0.097016631;1.023447603;0.096812922;0.101722467;0.15307894;0.099467677;0.111774455;0.811811712;0.087861088;1.080703751;0.097205393;0.887860531;0.123613499;1.097614643;0.088890134;0.100326547;0.104051106;0.097235804;0.131250802;1.474388719;1.716354854;0.172231067;0.141631698;0.141474432;0.163659472
0.96825496;0.113744263;1.094883308;0.09600886;0.877452205;0.125998022;0.983554588;0.059384153;0.117907496;0.115459055;0.062137663;0.171158463;0.836033721;0.102951781;1.127961543;0.085024454;0.914467165;0.116398063;1.14318892;0.099656782;0.0934374;0.113569619;0.113796799;0.120686352;1.389140862;1.781464761;0.157837188;0.127345301;0.140388786;0.20588382
0.976856895;0.15588449;1.085271465;0.108595486;0.915619866;0.134195473;1.042942194;0.076601579;0.125303209;0.156636174;0.086883546;0.151563671;1.027524493;0.096330626;1.28614707;0.108255809;0.949229008;0.116715262;1.197462078;0.102122756;0.132936927;0.09659256;0.122719153;0.117966529;1.398558779;1.8702418;0.105212665;0.122227951;0.129126043;0.156822985
0.953768815;0.142857024;1.077159034;0.077915121;0.8719579;0.170917565;0.998614891;0.056793043;0.10100646;0.146878294;0.056810319;0.204895245;0.937136974;0.136042446;1.255589956;0.081153986;0.938313538;0.111019286;1.214716796;0.09997028;0.10869986;0.137149445;0.120308115;0.112600646;1.467417929;1.859165206;0.111753719;0.139602336;0.140719134;0.242417073
0.901411066;0.129370704;1.029075113;0.067460303;0.930285354;0.13304036;1.035311347;0.085906259;0.072384267;0.151170968;0.091063878;0.143816389;0.874238105;0.112385737;1.173102061;0.099055981;0.933528291;0.10357054;1.192905066;0.105776275;0.110844334;0.117955596;0.119980724;0.105343074;1.591584815;1.999958503;0.120378414;0.175600039;0.133560454;0.203369019
0.914229616;0.104614778;1.042067444;0.092876382;0.87770747;0.121323724;0.97596602;0.077322831;0.099378244;0.121723766;0.080725359;0.160160628;0.741435153;0.125034331;1.040854274;0.093556595;0.80938679;0.101588875;1.096134765;0.08844052;0.094357964;0.14768085;0.093560641;0.118006029;1.740262907;1.999921493;0.152856479;0.168114456;0.162323256;0.226573779
0.891310262;0.117154112;1.016190455;0.093402848;0.872890546;0.090464083;0.995843418;0.097332052;0.094404181;0.142424409;0.097386622;0.126013776;0.681049576;0.10260137;0.950788461;0.097939527;0.72071957;0.111576302;1.01940137;0.070586039;0.099132694;0.144098852;0.07086543;0.143581701;1.808130436;1.999939585;0.17597091;0.170763477;0.175078681;0.197811169
0.954082747;0.17314187;1.075723743;0.113511392;0.907159608;0.078893848;1.036371772;0.121798649;0.129627195;0.176340681;0.124577468;0.097727845;0.713037809;0.123838868;0.992687804;0.078213985;0.700968262;0.121055547;1.021962525;0.061280397;0.078248855;0.154500615;0.061685211;0.154651067;1.860235471;1.907069123;0.177431111;0.123839942;0.18718077;0.197323048
0.880879051;0.17020929;1.011641914;0.061813416;1.06549409;0.067088619;1.140985314;0.174229218;0.062835096;0.197193028;0.195974792;0.077340812;0.738340403;0.105332715;1.006666819;0.090581223;0.650208739;0.124254211;0.971211315;0.063392366;0.090606229;0.135301743;0.064076379;0.168425034;1.691895485;1.783573924;0.175421257;0.185467409;0.192777288;0.155557154
0.914976384;0.1153411;1.024169629;0.09039876;0.941145963;0.089761463;1.053481184;0.112163182;0.092800524;0.132622232;0.118593098;0.097609494;0.795033551;0.123669206;1.086289987;0.082027669;0.728961798;0.12020013;1.053045751;0.078722029;0.086622756;0.1405179;0.080285594;0.144578488;1.64982316;1.725414051;0.158169843;0.168415811;0.17216273;0.177416514
0.881489177;0.113372433;0.991872296;0.096382353;0.904333703;0.117018192;1.01199469;0.096227002;0.096665812;0.148474449;0.096707665;0.135768837;0.805591542;0.121885714;1.110711738;0.084748251;0.658780492;0.124505995;0.97566649;0.071386032;0.0917595;0.136832132;0.071806097;0.165461385;1.601460582;1.78281223;0.156511155;0.206032214;0.188306363;0.197252616
